Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Team
90,Kalvin Phillips,eng ENG,MF,28-114,4,0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Manchester City
91,Sergio Gómez,es ESP,FW,23-203,3,0,20.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,3.0,1.0,2.0,0.0,4.5,4.5,0.0,4.5,0.0,0.85,0.85,0.0,0.85,Manchester City
92,Aymeric Laporte,es ESP,DF,29-303,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,Manchester City
93,Cole Palmer,eng ENG,MF,21-324,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City
94,James Mcatee,eng ENG,MF,21-159,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City
95,Scott Carson,eng ENG,GK,38-204,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manchester City
96,Micah Hamilton,eng ENG,MF,20-133,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manchester City
97,Máximo Perrone,ar ARG,MF,21-078,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manchester City
98,Mahamadou Susoho,es ESP,DF,19-065,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manchester City
99,Jacob Wright,eng ENG,MF,18-186,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manchester City
100,Ollie Watkins,eng ENG,FW,28-086,29,29,2565.0,28.5,16.0,10.0,26.0,16.0,0.0,0.0,4.0,0.0,14.3,14.3,5.4,19.7,50.0,45.0,176.0,0.56,0.35,0.91,0.56,0.91,0.5,0.19,0.69,0.5,0.69,Aston Villa
101,Emiliano Martínez,ar ARG,GK,31-205,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
102,Douglas Luiz,br BRA,MF,25-321,28,28,2418.0,26.9,9.0,5.0,14.0,5.0,4.0,4.0,8.0,0.0,6.6,3.5,4.2,7.7,51.0,152.0,43.0,0.33,0.19,0.52,0.19,0.37,0.25,0.16,0.4,0.13,0.29,Aston Villa
103,John McGinn,sct SCO,"MF,FW",29-159,28,28,2373.0,26.4,6.0,3.0,9.0,6.0,0.0,0.0,7.0,1.0,4.3,4.3,3.9,8.2,49.0,166.0,71.0,0.23,0.11,0.34,0.23,0.34,0.16,0.15,0.31,0.16,0.31,Aston Villa
