Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Team
178,Saïd Benrahma,dz ALG,"FW,MF",28-228,6.9,8,4,5,3,0,4,15,26.7,11,8,0,8,5,13,7,0,West Ham
179,Pablo Fornals,es ESP,"MF,FW",28-032,4.7,10,6,4,3,3,5,16,31.3,11,8,1,7,6,16,7,0,West Ham
180,Ben Johnson,eng ENG,"DF,FW",24-061,4.7,9,6,6,2,1,8,11,72.7,3,1,1,0,5,14,8,0,West Ham
181,Angelo Ogbonna,it ITA,DF,35-307,3.6,3,1,3,0,0,2,2,100.0,0,10,8,2,2,5,18,0,West Ham
182,Łukasz Fabiański,pl POL,GK,38-342,3.5,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0,West Ham
183,Kalvin Phillips,eng ENG,MF,28-114,3.0,8,3,2,5,1,5,7,71.4,2,3,0,3,4,12,2,1,West Ham
184,Aaron Cresswell,eng ENG,DF,34-101,2.7,1,0,1,0,0,1,2,50.0,1,3,2,1,2,3,4,0,West Ham
185,Danny Ings,eng ENG,FW,31-246,2.9,5,2,0,5,0,3,9,33.3,6,4,1,3,2,7,6,0,West Ham
186,Maxwel Cornet,ci CIV,"MF,FW",27-180,1.2,3,2,3,0,0,1,5,20.0,4,0,0,0,1,4,1,0,West Ham
187,Divin Mubama,eng ENG,FW,19-152,0.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,West Ham
188,Thilo Kehrer,de GER,"DF,MF",27-186,0.2,1,1,0,1,0,0,0,,0,2,2,0,0,1,0,0,West Ham
189,Pascal Groß,de GER,"MF,DF",32-284,24.6,51,33,23,16,12,21,48,43.8,27,32,6,26,17,68,23,3,Brighton
190,Lewis Dunk,eng ENG,DF,32-125,23.4,20,10,12,7,1,8,28,28.6,20,36,28,8,19,39,53,1,Brighton
191,Jan Paul van Hecke,nl NED,DF,23-291,21.3,37,22,19,15,3,22,37,59.5,15,39,20,19,26,63,65,4,Brighton
192,Billy Gilmour,sct SCO,MF,22-288,19.8,21,14,13,6,2,9,30,30.0,21,21,8,13,8,29,14,1,Brighton
193,Simon Adingra,ci CIV,FW,22-084,16.1,22,12,12,5,5,11,29,37.9,18,16,1,15,12,34,10,0,Brighton
194,Kaoru Mitoma,jp JPN,FW,26-310,16.5,13,6,3,7,3,5,19,26.3,14,15,1,14,5,18,12,0,Brighton
195,Evan Ferguson,ie IRL,FW,19-158,15.1,14,6,4,7,3,5,14,35.7,9,10,3,7,2,16,7,0,Brighton
196,Jason Steele,eng ENG,GK,33-220,15.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,7,1,Brighton
