Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Team
787,Hugo Bueno,es ESP,"DF,MF",21-189,4.8,0,4,0,0.0,0.83,0.0,0.0,,17.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Wolves
788,Matt Doherty,ie IRL,"DF,MF",32-069,6.6,1,5,2,40.0,0.76,0.3,0.2,0.5,11.0,0,0,0,0.5,0.5,0.11,0.5,0.5,Wolves
789,Boubacar Traoré,ml MLI,"MF,FW",22-218,4.5,0,4,0,0.0,0.89,0.0,0.0,,28.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Wolves
790,Santiago Bueno,uy URU,DF,25-137,3.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Wolves
791,Fábio Silva,pt POR,FW,21-250,2.9,0,7,3,42.9,2.39,1.02,0.0,0.0,13.8,0,0,0,1.0,1.0,0.15,-1.0,-1.0,Wolves
792,Daniel Bentley,eng ENG,GK,30-256,3.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Wolves
793,Matheus Nunes,pt POR,MF,25-211,2.0,0,1,0,0.0,0.5,0.0,0.0,,15.4,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Wolves
794,Nathan Fraser,ie IRL,FW,19-032,1.9,0,2,2,100.0,1.03,1.03,0.0,0.0,17.9,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Wolves
795,Sasa Kalajdzic,at AUT,FW,26-262,1.8,2,4,2,50.0,2.17,1.08,0.5,1.0,11.2,0,0,0,1.1,1.1,0.26,0.9,0.9,Wolves
796,Tawanda Chirewa,eng ENG,"MF,FW",20-166,0.1,0,1,0,0.0,6.92,0.0,0.0,,12.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Wolves
797,Jonny Castro,es ESP,MF,30-022,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Wolves
798,Fabian Schär,ch SUI,DF,32-096,27.1,3,30,8,26.7,1.11,0.29,0.1,0.38,18.7,2,0,0,2.4,2.4,0.08,0.6,0.6,Newcastle Utd
799,Bruno Guimarães,br BRA,MF,26-130,26.3,3,31,9,29.0,1.18,0.34,0.1,0.33,18.3,0,0,0,2.6,2.6,0.09,0.4,0.4,Newcastle Utd
800,Anthony Gordon,eng ENG,FW,23-030,24.3,9,57,22,38.6,2.35,0.91,0.14,0.36,17.5,0,1,1,7.8,7.0,0.12,1.2,1.0,Newcastle Utd
801,Kieran Trippier,eng ENG,DF,33-188,24.0,1,8,2,25.0,0.33,0.08,0.13,0.5,23.8,4,0,0,0.7,0.7,0.08,0.3,0.3,Newcastle Utd
802,Miguel Almirón,py PAR,FW,30-044,20.4,3,40,11,27.5,1.96,0.54,0.08,0.27,16.3,0,0,0,4.5,4.5,0.11,-1.5,-1.5,Newcastle Utd
803,Dan Burn,eng ENG,DF,31-321,20.3,2,16,5,31.3,0.79,0.25,0.13,0.4,9.0,0,0,0,2.4,2.4,0.16,-0.4,-0.4,Newcastle Utd
804,Sean Longstaff,eng ENG,MF,26-147,21.1,4,24,10,41.7,1.14,0.47,0.17,0.4,15.5,0,0,0,3.6,3.6,0.15,0.4,0.4,Newcastle Utd
805,Alexander Isak,se SWE,FW,24-186,15.6,12,42,22,52.4,2.7,1.41,0.24,0.45,13.7,0,2,2,10.9,9.4,0.23,1.1,0.6,Newcastle Utd
806,Sven Botman,nl NED,DF,24-073,15.3,2,10,2,20.0,0.65,0.13,0.2,1.0,10.5,0,0,0,0.6,0.6,0.06,1.4,1.4,Newcastle Utd
807,Nick Pope,eng ENG,GK,31-341,13.9,0,1,0,0.0,0.07,0.0,0.0,,14.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Newcastle Utd
808,Lewis Miley,eng ENG,MF,17-329,13.4,1,13,3,23.1,0.97,0.22,0.08,0.33,15.4,0,0,0,1.2,1.2,0.1,-0.2,-0.2,Newcastle Utd
809,Joelinton,br BRA,"MF,FW",27-224,12.6,2,15,5,33.3,1.19,0.4,0.13,0.4,16.0,0,0,0,2.3,2.3,0.15,-0.3,-0.3,Newcastle Utd
810,Martin Dúbravka,sk SVK,GK,35-070,13.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Newcastle Utd
811,Jamaal Lascelles,eng ENG,DF,30-135,11.8,1,6,1,16.7,0.51,0.08,0.17,1.0,9.3,0,0,0,0.7,0.7,0.12,0.3,0.3,Newcastle Utd
